,講義コード,講義名,担当者名
370,223504,経営戦略論【国際経営学科3年＆4年次】,宮崎 信二
371,223505,国際経営戦略論,東 正志
372,231316,社会思想史,岸川 富士夫
373,232532,(特１)起業講座１,教員未確定|西山 賢一
374,651106,教職入門,曽山 和彦
375,651112,教育原論,嶋口 裕基
376,651115,教育心理学,木村 美奈子
377,651117,日本史１（旧カリ）,長屋 隆幸
378,651118,外国史（旧カリ）,仲山 茂
379,651503,教育課程論,梅本 大介
380,651508,生徒・進路指導論,曽山 和彦
381,651515,自然地理学（旧カリ）,稲垣 建志
382,652119,教育情報論,平山 勉
383,652122,学校教育相談,勝田 拓真
384,652131,日本文化史（旧カリ）,山中 雅子
385,652132,民俗学（旧カリ）,山中 雅子
386,652133,倫理学１（旧カリ）,小林 智
387,652504,特別支援教育論,堀部 要子
388,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
389,652518,古文書学（旧カリ）,山中 雅子
390,652520,地理学１（旧カリ）,稲垣 建志
391,652521,地誌学（旧カリ）,稲垣 建志
392,653106,商業科教育法,杉本 直記
393,653509,商業科指導法,杉本 直記
394,653532,哲学１（旧カリ）,小林 智
395,654106,教育実習１,曽山 和彦
396,654114,教育実習２,曽山 和彦
397,654122,教育実習指導（事後）,曽山 和彦
398,654506,教職実践演習(中・高),曽山 和彦
399,654517,教育実習１,曽山 和彦
400,654525,教育実習２,曽山 和彦
401,654533,教育実習指導（事後）,曽山 和彦
402,661502,博物館教育論,川合 剛
403,662102,博物館資料保存論,川瀬 基弘
404,662105,日本文化史（旧カリ）,山中 雅子
405,662106,民俗学（旧カリ）,山中 雅子
406,662502,博物館展示論,尾坂 知江子
407,662504,古文書学（旧カリ）,山中 雅子
408,663004,博物館実習１,伊藤 俊一|岩井 眞實|大瀧 真俊|平山 勉|山中 雅子
409,663102,博物館資料論２,森 達也
410,663103,博物館情報論,平山 勉
411,663104,教育メディア環境論,平山 勉
412,664001,博物館実習２,平山 勉
413,663103,博物館情報論,平山 勉
414,663104,教育メディア環境論,平山 勉
415,664001,博物館実習２,平山 勉
