,講義コード,講義名,担当者名
277,303528,物理学演習,大久保 敏之
278,303530,線形代数２,内村 佳典
279,303531,英語コミュニケーション２,永井 正司
280,303532,英語コミュニケーション２,中村 栄造
281,303533,英語コミュニケーション２,松村 昌紀
282,303604,組み込みシステム１および演習,村田 英一
283,303606,制御工学１,増山 岳人
284,303617,デジタル回路１,増山 岳人
285,303618,電子回路B,都竹 愛一郎
286,303621,制御工学１,増山 岳人
287,303623,組み込みシステム１および演習,村田 英一
288,303630,電子回路B,都竹 愛一郎
289,303631,デジタル回路１,増山 岳人
290,303702,半導体工学２,村本 裕二
291,303709,電力系統工学,益田 泰輔
292,651105,教職入門,谷口 正明
293,651110,教育原論,嶋口 裕基
294,651114,教育心理学,木村 美奈子
295,651502,教育課程論,佐々木 基裕
296,651508,生徒・進路指導論,曽山 和彦
297,652119,教育情報論,平山 勉
298,652123,学校教育相談,川俣 理惠
299,652503,特別支援教育論,曽山 和彦
300,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
301,654105,教育実習１,谷口 正明
302,654113,教育実習２,谷口 正明
303,654121,教育実習指導（事後）,谷口 正明
304,654505,教職実践演習(中・高),谷口 正明
305,654516,教育実習１,谷口 正明
306,654524,教育実習２,谷口 正明
307,654532,教育実習指導（事後）,谷口 正明
308,661502,博物館教育論,川合 剛
309,662102,博物館資料保存論,川瀬 基弘
310,662105,日本文化史（旧カリ）,山中 雅子
311,662106,民俗学（旧カリ）,山中 雅子
312,662502,博物館展示論,尾坂 知江子
313,662504,古文書学（旧カリ）,山中 雅子
314,663001,博物館実習１,三浦 彩子
315,663101,博物館資料論１,川瀬 基弘
316,663103,博物館情報論,平山 勉
317,663104,教育メディア環境論,平山 勉
318,664002,博物館実習２,三浦 彩子
319,662105,日本文化史（旧カリ）,山中 雅子
320,662106,民俗学（旧カリ）,山中 雅子
321,662502,博物館展示論,尾坂 知江子
322,662504,古文書学（旧カリ）,山中 雅子
323,663001,博物館実習１,三浦 彩子
324,663101,博物館資料論１,川瀬 基弘
325,663103,博物館情報論,平山 勉
326,663104,教育メディア環境論,平山 勉
327,664002,博物館実習２,三浦 彩子
